chunk,position,study_id,model_view,horizontal_flip,distance_from_starting_side,distance_nonzero
3,0,RSNA_11357,R-MLO,YES,0.0,False
3,1,RSNA_11476,L-CC,YES,0.0,False
3,1,RSNA_11476,R-CC,YES,0.0,False
3,1,RSNA_11476,L-MLO,YES,0.0,False
3,1,RSNA_11476,R-MLO,YES,0.0,False
3,2,RSNA_11745,L-CC,YES,0.0,False
3,2,RSNA_11745,R-CC,YES,0.0,False
3,2,RSNA_11745,L-MLO,YES,0.0,False
3,2,RSNA_11745,R-MLO,YES,0.0,False
3,3,RSNA_11768,L-CC,YES,0.0,False
3,3,RSNA_11768,R-CC,YES,0.0,False
3,3,RSNA_11768,L-MLO,YES,0.0,False
3,3,RSNA_11768,R-MLO,YES,0.0,False
4,0,RSNA_12027,L-CC,YES,0.0,False
4,0,RSNA_12027,R-CC,YES,0.0,False
4,0,RSNA_12027,L-MLO,YES,0.0,False
4,0,RSNA_12027,R-MLO,YES,0.0,False
4,1,RSNA_12223,L-CC,YES,0.0,False
4,1,RSNA_12223,R-CC,YES,0.0,False
4,1,RSNA_12223,L-MLO,YES,0.0,False
4,1,RSNA_12223,R-MLO,YES,0.0,False
4,2,RSNA_12226,L-CC,YES,0.0,False
4,2,RSNA_12226,R-CC,YES,0.0,False
4,2,RSNA_12226,L-MLO,YES,0.0,False
4,2,RSNA_12226,R-MLO,YES,0.0,False
5,0,RSNA_1234,L-CC,YES,0.0,False
5,0,RSNA_1234,R-CC,YES,0.0,False
5,0,RSNA_1234,L-MLO,YES,0.0,False
5,0,RSNA_1234,R-MLO,YES,0.0,False
5,1,RSNA_12374,L-CC,YES,0.0,False
5,1,RSNA_12374,R-CC,YES,0.0,False
5,1,RSNA_12374,L-MLO,YES,0.0,False
5,1,RSNA_12374,R-MLO,YES,0.0,False
5,2,RSNA_12392,L-CC,YES,0.0,False
5,2,RSNA_12392,R-CC,YES,0.0,False
5,2,RSNA_12392,L-MLO,YES,0.0,False
5,2,RSNA_12392,R-MLO,YES,0.0,False
5,3,RSNA_12408,L-CC,YES,0.0,False
5,3,RSNA_12408,R-CC,YES,0.0,False
5,3,RSNA_12408,L-MLO,YES,0.0,False
5,3,RSNA_12408,R-MLO,YES,0.0,False
5,4,RSNA_12596,L-CC,YES,0.0,False
5,4,RSNA_12596,R-CC,YES,0.0,False
5,4,RSNA_12596,L-MLO,YES,0.0,False
5,4,RSNA_12596,R-MLO,YES,0.0,False
6,0,RSNA_12663,L-CC,YES,0.0,False
6,0,RSNA_12663,R-CC,YES,0.0,False
6,0,RSNA_12663,L-MLO,YES,0.0,False
6,0,RSNA_12663,R-MLO,YES,0.0,False
6,1,RSNA_1267,L-CC,YES,0.0,False
6,1,RSNA_1267,R-CC,YES,0.0,False
6,1,RSNA_1267,L-MLO,YES,0.0,False
6,1,RSNA_1267,R-MLO,YES,0.0,False
6,2,RSNA_12710,L-CC,YES,0.0,False
6,2,RSNA_12710,R-CC,YES,0.0,False
6,2,RSNA_12710,L-MLO,YES,0.0,False
6,2,RSNA_12710,R-MLO,YES,0.0,False
6,3,RSNA_12725,L-CC,YES,0.0,False
6,3,RSNA_12725,R-CC,YES,0.0,False
6,3,RSNA_12725,L-MLO,YES,0.0,False
6,3,RSNA_12725,R-MLO,YES,0.0,False
6,4,RSNA_12771,L-CC,YES,0.0,False
6,4,RSNA_12771,R-CC,YES,0.0,False
6,4,RSNA_12771,L-MLO,YES,0.0,False
6,4,RSNA_12771,R-MLO,YES,0.0,False
6,5,RSNA_128,L-CC,YES,0.0,False
6,5,RSNA_128,R-CC,YES,0.0,False
6,5,RSNA_128,L-MLO,YES,0.0,False
6,5,RSNA_128,R-MLO,YES,0.0,False
6,6,RSNA_12804,L-CC,YES,0.0,False
6,6,RSNA_12804,R-CC,YES,0.0,False
6,6,RSNA_12804,L-MLO,YES,0.0,False
6,6,RSNA_12804,R-MLO,YES,0.0,False
6,7,RSNA_12832,L-CC,YES,0.0,False
6,7,RSNA_12832,R-CC,YES,0.0,False
6,7,RSNA_12832,L-MLO,YES,0.0,False
6,7,RSNA_12832,R-MLO,YES,0.0,False
6,8,RSNA_12919,L-CC,YES,0.0,False
6,8,RSNA_12919,R-CC,YES,0.0,False
6,8,RSNA_12919,L-MLO,YES,0.0,False
6,8,RSNA_12919,R-MLO,YES,0.0,False
7,0,RSNA_12925,L-CC,YES,0.0,False
7,0,RSNA_12925,R-CC,YES,0.0,False
7,0,RSNA_12925,L-MLO,YES,0.0,False
7,0,RSNA_12925,R-MLO,YES,0.0,False
7,1,RSNA_13101,L-CC,YES,0.0,False
7,1,RSNA_13101,R-CC,YES,0.0,False
7,1,RSNA_13101,L-MLO,YES,0.0,False
7,1,RSNA_13101,R-MLO,YES,0.0,False
7,2,RSNA_1313,L-CC,YES,0.0,False
7,2,RSNA_1313,R-CC,YES,0.0,False
7,2,RSNA_1313,L-MLO,YES,0.0,False
7,2,RSNA_1313,R-MLO,YES,0.0,False
7,3,RSNA_13158,L-CC,YES,0.0,False
7,3,RSNA_13158,R-CC,YES,0.0,False
7,3,RSNA_13158,L-MLO,YES,0.0,False
7,3,RSNA_13158,R-MLO,YES,0.0,False
7,4,RSNA_13171,L-CC,YES,0.0,False
7,4,RSNA_13171,R-CC,YES,0.0,False
7,4,RSNA_13171,L-MLO,YES,0.0,False
7,4,RSNA_13171,R-MLO,YES,0.0,False
8,0,RSNA_13335,L-CC,YES,0.0,False
8,0,RSNA_13335,R-CC,YES,0.0,False
8,0,RSNA_13335,L-MLO,YES,0.0,False
8,0,RSNA_13335,R-MLO,YES,0.0,False
8,1,RSNA_13428,L-CC,YES,0.0,False
8,1,RSNA_13428,R-CC,YES,0.0,False
8,1,RSNA_13428,L-MLO,YES,0.0,False
8,1,RSNA_13428,R-MLO,YES,0.0,False
8,2,RSNA_13487,L-CC,YES,0.0,False
8,2,RSNA_13487,R-CC,YES,0.0,False
8,2,RSNA_13487,L-MLO,YES,0.0,False
8,2,RSNA_13487,R-MLO,YES,0.0,False
8,3,RSNA_13578,L-CC,YES,0.0,False
8,3,RSNA_13578,R-CC,YES,0.0,False
8,3,RSNA_13578,L-MLO,YES,0.0,False
8,3,RSNA_13578,R-MLO,YES,0.0,False
9,0,RSNA_13756,L-CC,YES,0.0,False
9,0,RSNA_13756,R-CC,YES,0.0,False
9,0,RSNA_13756,L-MLO,YES,0.0,False
9,0,RSNA_13756,R-MLO,YES,0.0,False
9,1,RSNA_13778,L-CC,YES,0.0,False
9,1,RSNA_13778,R-CC,YES,0.0,False
9,1,RSNA_13778,L-MLO,YES,0.0,False
9,1,RSNA_13778,R-MLO,YES,0.0,False
9,2,RSNA_13920,L-CC,YES,0.0,False
9,2,RSNA_13920,R-CC,YES,0.0,False
9,2,RSNA_13920,L-MLO,YES,0.0,False
9,2,RSNA_13920,R-MLO,YES,0.0,False
9,3,RSNA_13966,L-CC,YES,0.0,False
9,3,RSNA_13966,R-CC,YES,0.0,False
9,3,RSNA_13966,L-MLO,YES,0.0,False
9,3,RSNA_13966,R-MLO,YES,0.0,False
9,4,RSNA_14045,L-CC,YES,0.0,False
9,4,RSNA_14045,R-CC,YES,0.0,False
9,4,RSNA_14045,L-MLO,YES,0.0,False
9,4,RSNA_14045,R-MLO,YES,0.0,False
9,5,RSNA_14048,L-CC,YES,0.0,False
9,5,RSNA_14048,R-CC,YES,0.0,False
9,5,RSNA_14048,L-MLO,YES,0.0,False
9,5,RSNA_14048,R-MLO,YES,0.0,False
10,0,RSNA_14341,L-CC,YES,0.0,False
10,0,RSNA_14341,R-CC,YES,0.0,False
10,0,RSNA_14341,L-MLO,YES,0.0,False
10,0,RSNA_14341,R-MLO,YES,0.0,False
10,1,RSNA_14374,L-CC,YES,0.0,False
10,1,RSNA_14374,R-CC,YES,0.0,False
10,1,RSNA_14374,L-MLO,YES,0.0,False
10,1,RSNA_14374,R-MLO,YES,0.0,False
10,2,RSNA_14382,L-CC,YES,0.0,False
10,2,RSNA_14382,R-CC,YES,0.0,False
10,2,RSNA_14382,L-MLO,YES,0.0,False
10,2,RSNA_14382,R-MLO,YES,0.0,False
11,0,RSNA_14664,L-CC,YES,0.0,False
11,0,RSNA_14664,R-CC,YES,0.0,False
11,0,RSNA_14664,L-MLO,YES,0.0,False
11,0,RSNA_14664,R-MLO,YES,0.0,False
12,0,RSNA_15117,L-CC,YES,0.0,False
12,0,RSNA_15117,R-CC,YES,0.0,False
12,0,RSNA_15117,L-MLO,YES,0.0,False
12,0,RSNA_15117,R-MLO,YES,0.0,False
12,1,RSNA_1519,L-CC,YES,0.0,False
12,1,RSNA_1519,R-CC,YES,0.0,False
12,1,RSNA_1519,L-MLO,YES,0.0,False
12,1,RSNA_1519,R-MLO,YES,0.0,False
13,0,RSNA_15793,L-CC,YES,0.0,False
13,0,RSNA_15793,R-CC,YES,0.0,False
13,0,RSNA_15793,L-MLO,YES,0.0,False
13,0,RSNA_15793,R-MLO,YES,0.0,False
13,1,RSNA_1588,L-CC,YES,0.0,False
13,1,RSNA_1588,R-CC,YES,0.0,False
13,1,RSNA_1588,L-MLO,YES,0.0,False
13,1,RSNA_1588,R-MLO,YES,0.0,False
14,0,RSNA_15911,L-CC,YES,0.0,False
14,0,RSNA_15911,R-CC,YES,0.0,False
14,0,RSNA_15911,L-MLO,YES,0.0,False
14,0,RSNA_15911,R-MLO,YES,0.0,False
14,1,RSNA_16003,L-CC,YES,0.0,False
14,1,RSNA_16003,R-CC,YES,0.0,False
14,1,RSNA_16003,L-MLO,YES,0.0,False
14,1,RSNA_16003,R-MLO,YES,0.0,False
14,2,RSNA_16128,L-CC,YES,0.0,False
14,2,RSNA_16128,R-CC,YES,0.0,False
14,2,RSNA_16128,L-MLO,YES,0.0,False
14,2,RSNA_16128,R-MLO,YES,0.0,False
14,3,RSNA_16145,L-CC,YES,0.0,False
14,3,RSNA_16145,R-CC,YES,0.0,False
14,3,RSNA_16145,L-MLO,YES,0.0,False
14,3,RSNA_16145,R-MLO,YES,0.0,False
14,4,RSNA_16361,L-CC,YES,0.0,False
14,4,RSNA_16361,R-CC,YES,0.0,False
14,4,RSNA_16361,L-MLO,YES,0.0,False
14,4,RSNA_16361,R-MLO,YES,0.0,False
14,5,RSNA_16380,L-CC,YES,0.0,False
14,5,RSNA_16380,R-CC,YES,0.0,False
14,5,RSNA_16380,L-MLO,YES,0.0,False
14,5,RSNA_16380,R-MLO,YES,0.0,False
15,0,RSNA_16485,L-CC,YES,0.0,False
15,0,RSNA_16485,R-CC,YES,0.0,False
15,0,RSNA_16485,L-MLO,YES,0.0,False
15,0,RSNA_16485,R-MLO,YES,0.0,False
15,1,RSNA_16530,L-CC,YES,0.0,False
15,1,RSNA_16530,R-CC,YES,0.0,False
15,1,RSNA_16530,L-MLO,YES,0.0,False
15,1,RSNA_16530,R-MLO,YES,0.0,False
15,2,RSNA_16702,L-CC,YES,0.0,False
15,2,RSNA_16702,R-CC,YES,0.0,False
15,2,RSNA_16702,L-MLO,YES,0.0,False
15,2,RSNA_16702,R-MLO,YES,0.0,False
15,3,RSNA_16785,L-CC,YES,0.0,False
15,3,RSNA_16785,R-CC,YES,0.0,False
15,3,RSNA_16785,L-MLO,YES,0.0,False
15,3,RSNA_16785,R-MLO,YES,0.0,False
15,4,RSNA_16788,L-CC,YES,0.0,False
15,4,RSNA_16788,R-CC,YES,0.0,False
15,4,RSNA_16788,L-MLO,YES,0.0,False
15,4,RSNA_16788,R-MLO,YES,0.0,False
16,0,RSNA_16862,L-CC,YES,0.0,False
16,0,RSNA_16862,R-CC,YES,0.0,False
16,0,RSNA_16862,L-MLO,YES,0.0,False
16,0,RSNA_16862,R-MLO,YES,0.0,False
16,1,RSNA_1688,L-CC,YES,0.0,False
16,1,RSNA_1688,R-CC,YES,0.0,False
16,1,RSNA_1688,L-MLO,YES,0.0,False
16,1,RSNA_1688,R-MLO,YES,0.0,False
16,2,RSNA_1701,L-CC,YES,0.0,False
16,2,RSNA_1701,R-CC,YES,0.0,False
16,2,RSNA_1701,L-MLO,YES,0.0,False
16,2,RSNA_1701,R-MLO,YES,0.0,False
16,3,RSNA_17039,L-CC,YES,0.0,False
16,3,RSNA_17039,R-CC,YES,0.0,False
16,3,RSNA_17039,L-MLO,YES,0.0,False
16,3,RSNA_17039,R-MLO,YES,0.0,False
16,4,RSNA_17154,L-CC,YES,0.0,False
16,4,RSNA_17154,R-CC,YES,0.0,False
16,4,RSNA_17154,L-MLO,YES,0.0,False
16,4,RSNA_17154,R-MLO,YES,0.0,False
17,0,RSNA_17270,L-CC,YES,0.0,False
17,0,RSNA_17270,R-CC,YES,0.0,False
17,0,RSNA_17270,L-MLO,YES,0.0,False
17,0,RSNA_17270,R-MLO,YES,0.0,False
17,1,RSNA_17272,L-CC,YES,0.0,False
17,1,RSNA_17272,R-CC,YES,0.0,False
17,1,RSNA_17272,L-MLO,YES,0.0,False
17,1,RSNA_17272,R-MLO,YES,0.0,False
17,2,RSNA_17316,L-CC,YES,0.0,False
17,2,RSNA_17316,R-CC,YES,0.0,False
17,2,RSNA_17316,L-MLO,YES,0.0,False
17,2,RSNA_17316,R-MLO,YES,0.0,False
17,3,RSNA_17375,L-CC,YES,0.0,False
17,3,RSNA_17375,R-CC,YES,0.0,False
17,3,RSNA_17375,L-MLO,YES,0.0,False
17,3,RSNA_17375,R-MLO,YES,0.0,False
17,4,RSNA_17376,L-CC,YES,0.0,False
17,4,RSNA_17376,R-CC,YES,0.0,False
17,4,RSNA_17376,L-MLO,YES,0.0,False
17,4,RSNA_17376,R-MLO,YES,0.0,False
17,5,RSNA_17399,L-CC,YES,0.0,False
17,5,RSNA_17399,R-CC,YES,0.0,False
17,5,RSNA_17399,L-MLO,YES,0.0,False
17,5,RSNA_17399,R-MLO,YES,0.0,False
17,6,RSNA_17404,L-CC,YES,0.0,False
17,6,RSNA_17404,R-CC,YES,0.0,False
17,6,RSNA_17404,L-MLO,YES,0.0,False
17,6,RSNA_17404,R-MLO,YES,0.0,False
18,0,RSNA_17549,L-CC,YES,0.0,False
18,0,RSNA_17549,R-CC,YES,0.0,False
18,0,RSNA_17549,L-MLO,YES,0.0,False
18,0,RSNA_17549,R-MLO,YES,0.0,False
18,1,RSNA_17552,L-CC,YES,0.0,False
18,1,RSNA_17552,R-CC,YES,0.0,False
18,1,RSNA_17552,L-MLO,YES,0.0,False
18,1,RSNA_17552,R-MLO,YES,0.0,False
18,2,RSNA_17604,L-CC,YES,0.0,False
18,2,RSNA_17604,R-CC,YES,0.0,False
18,2,RSNA_17604,L-MLO,YES,0.0,False
18,2,RSNA_17604,R-MLO,YES,0.0,False
19,0,RSNA_17711,L-CC,YES,0.0,False
19,0,RSNA_17711,R-CC,YES,0.0,False
19,0,RSNA_17711,L-MLO,YES,0.0,False
19,0,RSNA_17711,R-MLO,YES,0.0,False
19,1,RSNA_17797,L-CC,YES,0.0,False
19,1,RSNA_17797,R-CC,YES,0.0,False
19,1,RSNA_17797,L-MLO,YES,0.0,False
19,1,RSNA_17797,R-MLO,YES,0.0,False
20,0,RSNA_1807,L-CC,YES,0.0,False
20,0,RSNA_1807,R-CC,YES,0.0,False
20,0,RSNA_1807,L-MLO,YES,0.0,False
20,0,RSNA_1807,R-MLO,YES,0.0,False
20,1,RSNA_18243,L-CC,YES,0.0,False
20,1,RSNA_18243,R-CC,YES,0.0,False
20,1,RSNA_18243,L-MLO,YES,0.0,False
20,1,RSNA_18243,R-MLO,YES,0.0,False
20,2,RSNA_18269,L-CC,YES,0.0,False
20,2,RSNA_18269,R-CC,YES,0.0,False
20,2,RSNA_18269,L-MLO,YES,0.0,False
20,2,RSNA_18269,R-MLO,YES,0.0,False
20,3,RSNA_18297,L-CC,YES,0.0,False
20,3,RSNA_18297,R-CC,YES,0.0,False
20,3,RSNA_18297,L-MLO,YES,0.0,False
20,3,RSNA_18297,R-MLO,YES,0.0,False
21,0,RSNA_18797,L-CC,YES,0.0,False
21,0,RSNA_18797,R-CC,YES,0.0,False
21,0,RSNA_18797,L-MLO,YES,0.0,False
21,0,RSNA_18797,R-MLO,YES,0.0,False
21,1,RSNA_1883,L-CC,YES,0.0,False
21,1,RSNA_1883,R-CC,YES,0.0,False
21,1,RSNA_1883,L-MLO,YES,0.0,False
21,1,RSNA_1883,R-MLO,YES,0.0,False
21,2,RSNA_18873,L-CC,YES,0.0,False
21,2,RSNA_18873,R-CC,YES,0.0,False
21,2,RSNA_18873,L-MLO,YES,0.0,False
21,2,RSNA_18873,R-MLO,YES,0.0,False
21,3,RSNA_19023,L-CC,YES,0.0,False
21,3,RSNA_19023,R-CC,YES,0.0,False
21,3,RSNA_19023,L-MLO,YES,0.0,False
21,3,RSNA_19023,R-MLO,YES,0.0,False
22,0,RSNA_19072,L-CC,YES,0.0,False
22,0,RSNA_19072,R-CC,YES,0.0,False
22,0,RSNA_19072,L-MLO,YES,0.0,False
22,0,RSNA_19072,R-MLO,YES,0.0,False
22,1,RSNA_19106,L-CC,YES,0.0,False
22,1,RSNA_19106,R-CC,YES,0.0,False
22,1,RSNA_19106,L-MLO,YES,0.0,False
22,1,RSNA_19106,R-MLO,YES,0.0,False
22,2,RSNA_19354,L-CC,YES,0.0,False
22,2,RSNA_19354,R-CC,YES,0.0,False
22,2,RSNA_19354,L-MLO,YES,0.0,False
22,2,RSNA_19354,R-MLO,YES,0.0,False
22,3,RSNA_19534,L-CC,YES,0.0,False
22,3,RSNA_19534,R-CC,YES,0.0,False
22,3,RSNA_19534,L-MLO,YES,0.0,False
22,3,RSNA_19534,R-MLO,YES,0.0,False
23,0,RSNA_19577,L-CC,YES,0.0,False
23,0,RSNA_19577,R-CC,YES,0.0,False
23,0,RSNA_19577,L-MLO,YES,0.0,False
23,0,RSNA_19577,R-MLO,YES,0.0,False
23,1,RSNA_19603,L-CC,YES,0.0,False
23,1,RSNA_19603,R-CC,YES,0.0,False
23,1,RSNA_19603,L-MLO,YES,0.0,False
23,1,RSNA_19603,R-MLO,YES,0.0,False
23,2,RSNA_19605,L-CC,YES,0.0,False
23,2,RSNA_19605,R-CC,YES,0.0,False
23,2,RSNA_19605,L-MLO,YES,0.0,False
23,2,RSNA_19605,R-MLO,YES,0.0,False
23,3,RSNA_19649,L-CC,YES,0.0,False
23,3,RSNA_19649,R-CC,YES,0.0,False
23,3,RSNA_19649,L-MLO,YES,0.0,False
23,3,RSNA_19649,R-MLO,YES,0.0,False
23,4,RSNA_19713,L-CC,YES,0.0,False
23,4,RSNA_19713,R-CC,YES,0.0,False
23,4,RSNA_19713,L-MLO,YES,0.0,False
23,4,RSNA_19713,R-MLO,YES,0.0,False
23,5,RSNA_19853,L-CC,YES,0.0,False
23,5,RSNA_19853,R-CC,YES,0.0,False
23,5,RSNA_19853,L-MLO,YES,0.0,False
23,5,RSNA_19853,R-MLO,YES,0.0,False
24,0,RSNA_1990,L-CC,YES,0.0,False
24,0,RSNA_1990,R-CC,YES,0.0,False
24,0,RSNA_1990,L-MLO,YES,0.0,False
24,0,RSNA_1990,R-MLO,YES,0.0,False
24,1,RSNA_19903,L-CC,YES,0.0,False
24,1,RSNA_19903,R-CC,YES,0.0,False
24,1,RSNA_19903,L-MLO,YES,0.0,False
24,1,RSNA_19903,R-MLO,YES,0.0,False
24,2,RSNA_19919,L-CC,YES,0.0,False
24,2,RSNA_19919,R-CC,YES,0.0,False
24,2,RSNA_19919,L-MLO,YES,0.0,False
24,2,RSNA_19919,R-MLO,YES,0.0,False
24,3,RSNA_20005,L-CC,YES,0.0,False
24,3,RSNA_20005,R-CC,YES,0.0,False
24,3,RSNA_20005,L-MLO,YES,0.0,False
24,3,RSNA_20005,R-MLO,YES,0.0,False
24,4,RSNA_20184,L-CC,YES,0.0,False
24,4,RSNA_20184,R-CC,YES,0.0,False
24,4,RSNA_20184,L-MLO,YES,0.0,False
24,4,RSNA_20184,R-MLO,YES,0.0,False
24,5,RSNA_20187,L-CC,YES,0.0,False
24,5,RSNA_20187,R-CC,YES,0.0,False
24,5,RSNA_20187,L-MLO,YES,0.0,False
24,5,RSNA_20187,R-MLO,YES,0.0,False
24,6,RSNA_20198,L-CC,YES,0.0,False
24,6,RSNA_20198,R-CC,YES,0.0,False
24,6,RSNA_20198,L-MLO,YES,0.0,False
24,6,RSNA_20198,R-MLO,YES,0.0,False
24,7,RSNA_20210,L-CC,YES,0.0,False
24,7,RSNA_20210,R-CC,YES,0.0,False
24,7,RSNA_20210,L-MLO,YES,0.0,False
24,7,RSNA_20210,R-MLO,YES,0.0,False
25,0,RSNA_20251,L-CC,YES,0.0,False
25,0,RSNA_20251,R-CC,YES,0.0,False
25,0,RSNA_20251,L-MLO,YES,0.0,False
25,0,RSNA_20251,R-MLO,YES,0.0,False
25,1,RSNA_2030,L-CC,YES,0.0,False
25,1,RSNA_2030,R-CC,YES,0.0,False
25,1,RSNA_2030,L-MLO,YES,0.0,False
25,1,RSNA_2030,R-MLO,YES,0.0,False
25,2,RSNA_20540,L-CC,YES,0.0,False
25,2,RSNA_20540,R-CC,YES,0.0,False
25,2,RSNA_20540,L-MLO,YES,0.0,False
25,2,RSNA_20540,R-MLO,YES,0.0,False
26,0,RSNA_20948,L-CC,YES,0.0,False
26,0,RSNA_20948,R-CC,YES,0.0,False
26,0,RSNA_20948,L-MLO,YES,0.0,False
26,0,RSNA_20948,R-MLO,YES,0.0,False
26,1,RSNA_211,L-CC,YES,0.0,False
26,1,RSNA_211,R-CC,YES,0.0,False
26,1,RSNA_211,L-MLO,YES,0.0,False
26,1,RSNA_211,R-MLO,YES,0.0,False
27,0,RSNA_21224,L-CC,YES,0.0,False
27,0,RSNA_21224,R-CC,YES,0.0,False
27,0,RSNA_21224,L-MLO,YES,0.0,False
27,0,RSNA_21224,R-MLO,YES,0.0,False
27,1,RSNA_21245,L-CC,YES,0.0,False
27,1,RSNA_21245,R-CC,YES,0.0,False
27,1,RSNA_21245,L-MLO,YES,0.0,False
27,1,RSNA_21245,R-MLO,YES,0.0,False
27,2,RSNA_21462,L-CC,YES,0.0,False
27,2,RSNA_21462,R-CC,YES,0.0,False
27,2,RSNA_21462,L-MLO,YES,0.0,False
27,2,RSNA_21462,R-MLO,YES,0.0,False
28,0,RSNA_21519,L-CC,YES,0.0,False
28,0,RSNA_21519,R-CC,YES,0.0,False
28,0,RSNA_21519,L-MLO,YES,0.0,False
28,0,RSNA_21519,R-MLO,YES,0.0,False
28,1,RSNA_21713,L-CC,YES,0.0,False
28,1,RSNA_21713,R-CC,YES,0.0,False
28,1,RSNA_21713,L-MLO,YES,0.0,False
28,1,RSNA_21713,R-MLO,YES,0.0,False
28,2,RSNA_21780,L-CC,YES,0.0,False
28,2,RSNA_21780,R-CC,YES,0.0,False
28,2,RSNA_21780,L-MLO,YES,0.0,False
28,2,RSNA_21780,R-MLO,YES,0.0,False
29,0,RSNA_22023,L-CC,YES,0.0,False
29,0,RSNA_22023,R-CC,YES,0.0,False
29,0,RSNA_22023,L-MLO,YES,0.0,False
29,0,RSNA_22023,R-MLO,YES,0.0,False
29,1,RSNA_22230,L-CC,YES,0.0,False
29,1,RSNA_22230,R-CC,YES,0.0,False
29,1,RSNA_22230,L-MLO,YES,0.0,False
29,1,RSNA_22230,R-MLO,YES,0.0,False
29,2,RSNA_22271,L-CC,YES,0.0,False
29,2,RSNA_22271,R-CC,YES,0.0,False
29,2,RSNA_22271,L-MLO,YES,0.0,False
29,2,RSNA_22271,R-MLO,YES,0.0,False
29,3,RSNA_22279,L-CC,YES,0.0,False
29,3,RSNA_22279,R-CC,YES,0.0,False
29,3,RSNA_22279,L-MLO,YES,0.0,False
29,3,RSNA_22279,R-MLO,YES,0.0,False
30,0,RSNA_22343,L-CC,YES,0.0,False
30,0,RSNA_22343,R-CC,YES,0.0,False
30,0,RSNA_22343,L-MLO,YES,0.0,False
30,0,RSNA_22343,R-MLO,YES,0.0,False
31,0,RSNA_22653,L-CC,YES,0.0,False
31,0,RSNA_22653,R-CC,YES,0.0,False
31,0,RSNA_22653,L-MLO,YES,0.0,False
31,0,RSNA_22653,R-MLO,YES,0.0,False
31,1,RSNA_22800,L-CC,YES,0.0,False
31,1,RSNA_22800,R-CC,YES,0.0,False
31,1,RSNA_22800,L-MLO,YES,0.0,False
31,1,RSNA_22800,R-MLO,YES,0.0,False
31,2,RSNA_22845,L-CC,YES,0.0,False
31,2,RSNA_22845,R-CC,YES,0.0,False
31,2,RSNA_22845,L-MLO,YES,0.0,False
31,2,RSNA_22845,R-MLO,YES,0.0,False
31,3,RSNA_22882,L-CC,YES,0.0,False
31,3,RSNA_22882,R-CC,YES,0.0,False
31,3,RSNA_22882,L-MLO,YES,0.0,False
31,3,RSNA_22882,R-MLO,YES,0.0,False
31,4,RSNA_22909,L-CC,YES,0.0,False
31,4,RSNA_22909,R-CC,YES,0.0,False
31,4,RSNA_22909,L-MLO,YES,0.0,False
31,4,RSNA_22909,R-MLO,YES,0.0,False
32,0,RSNA_23035,L-CC,YES,0.0,False
32,0,RSNA_23035,R-CC,YES,0.0,False
32,0,RSNA_23035,L-MLO,YES,0.0,False
32,0,RSNA_23035,R-MLO,YES,0.0,False
32,1,RSNA_23194,L-CC,YES,0.0,False
32,1,RSNA_23194,R-CC,YES,0.0,False
32,1,RSNA_23194,L-MLO,YES,0.0,False
32,1,RSNA_23194,R-MLO,YES,0.0,False
33,0,RSNA_23449,L-CC,YES,0.0,False
33,0,RSNA_23449,R-CC,YES,0.0,False
33,0,RSNA_23449,L-MLO,YES,0.0,False
33,0,RSNA_23449,R-MLO,YES,0.0,False
33,1,RSNA_23604,L-CC,YES,0.0,False
